"ProductName","SKU","Category","ItemType","TrackSerials","SerialPrefix","SerialNextNumber","SerialSuffix","Description","DefaultUnitPrice","Markup","IsFixedMarkup","IsTaxInclusivePrice","DKK","Cost","SpecialTaxRate","LastVendor","VendorProductCode","VendorPrice","BarCode","Uom","SalesUom","SalesUomRatio1","SalesUomRatio2","PurchasingUom","PurchasingUomRatio1","PurchasingUomRatio2","ProductLength","ProductWidth","ProductHeight","ProductWeight","Remarks","Gamesa PartNo.:","Other PartNo.:","HS-Code:","COO:","Leedtime (Weeks):","IsActive"
"CB 3P 0.9-1.25A 690V S00 3RV2111-0HA10","VM240011","New","Non-Stocked","False","","","","","66,72","17,60000","True","False","497,53","423,07000","","","","","VM240011","Units","","1,0000","1,0000","","1,0000","1,0000","","","","","","","","","","","True"
"HYD. FIT. CAP 1/4"" BRASS","VM240012","New","Non-Stocked","False","","","","","4,53","17,60000","True","False","33,75","28,70000","","","","","VM240012","Units","","1,0000","1,0000","","1,0000","1,0000","","","","","","","","","","","True"
"KH7 DEGREASER CLEANER","VM240013","New","Non-Stocked","False","","","","","9,79","17,60000","True","False","73,03","62,10000","","","","","VM240013","Units","","1,0000","1,0000","","1,0000","1,0000","","","","","","","","","","","True"
"GREASE,KLUBERPLEX BEM 41-132,25KG","VM240014","New","Non-Stocked","False","","","","","42,66","17,60000","True","False","318,16","270,54000","","","","","VM240014","Kg","","1,0000","1,0000","","1,0000","1,0000","","","","","","","","","","","True"
"RUBBISH BAG BLUE 120l, 60MY 76","VM240015","New","Non-Stocked","False","","","","","0,89","17,60000","True","False","6,67","5,67000","","","","","VM240015","Units","","1,0000","1,0000","","1,0000","1,0000","","","","","","","","","","","True"
"FLTR ELMNT SMX3 BN SERIES 3MIC","VM240016","New","Non-Stocked","False","","","","","46,08","17,60000","True","False","343,67","292,24000","","","","","VM240016","Units","","1,0000","1,0000","","1,0000","1,0000","","","","","","","","","","","True"
"BRUSH CARBON CANT04 20x40x50","VM240017","New","Non-Stocked","False","","","","","127,84","17,60000","True","False","953,34","810,66000","","","","","VM240017","Units","","1,0000","1,0000","","1,0000","1,0000","","","","","","","","","","","True"
"MCL FILTER KL121R W/ ADAPTOR G1","VM240018","New","Non-Stocked","False","","","","","235,98","17,60000","True","False","1759,81","1496,44000","","","","","VM240018","Units","","1,0000","1,0000","","1,0000","1,0000","","","","","","","","","","","True"
"O-RING II 19.5X3 OFFLINE FILTER","VM240019","New","Non-Stocked","False","","","","","1,90","17,60000","True","False","14,21","12,08000","","","","","VM240019","Units","","1,0000","1,0000","","1,0000","1,0000","","","","","","","","","","","True"
"FILTER ELEMENT HC35 SM-X 1511","VM240020","New","Non-Stocked","False","","","","","68,16","17,60000","True","False","508,31","432,24000","","","","","VM240020","Units","","1,0000","1,0000","","1,0000","1,0000","","","","","","","","","","","True"
"FILTER ELE. AIR HYD.UNIT MIC10","VM240021","New","Non-Stocked","False","","","","","21,23","17,60000","True","False","158,34","134,64000","","","","","VM240021","Units","","1,0000","1,0000","","1,0000","1,0000","","","","","","","","","","","True"
